Gene Name	Prediction ID	Curated Model ID	Date Curated Model Created
ima1	DDB0184406	DDB0351546	27-JUL-20
vps20	DDB0218879	DDB0351209	20-NOV-18
vps20	DDB0218879	DDB0351208	20-NOV-18
DDB_G0289561	DDB0219455	DDB0350756	06-JUL-16
DDB_G0293782	DDB0219894	DDB0350746	15-JUN-16
DDB_G0293744	DDB0192095	DDB0350745	15-JUN-16
DDB_G0279751	DDB0206011	DDB0350653	17-AUG-15
potA	DDB0204193	DDB0350523	20-JAN-15
potA	DDB0204192	DDB0350523	20-JAN-15
fimC	DDB0205524	DDB0350423	15-JUL-14
fimC	DDB0205525	DDB0350423	15-JUL-14
mef2A	DDB0202276	DDB0350237	19-NOV-13
DDB_G0271002	DDB0216728	DDB0350233	18-NOV-13
pkd2	DDB0217079	DDB0349991	30-JAN-13
aqpB	DDB0205768	DDB0349857	25-JAN-12
sibA	DDB0187447	DDB0349856	18-JAN-12
ndrC	DDB0218640	DDB0349842	05-DEC-11
acat	DDB0168409	DDB0349796	28-SEP-11
cax1	DDB0205708	DDB0349785	26-AUG-11
DDB_G0282777	DDB0218389	DDB0349784	26-AUG-11
DDB_G0282299	DDB0204165	DDB0349783	26-AUG-11
DDB_G0292914	DDB0191694	DDB0349782	25-AUG-11
bloc1s2	DDB0205421	DDB0349781	24-AUG-11
gacEE	DDB0191604	DDB0349780	24-AUG-11
gefY	DDB0217753	DDB0349779	23-AUG-11
gatC	DDB0185951	DDB0349778	22-AUG-11
DDB_G0281151	DDB0204043	DDB0349775	13-AUG-11
pks33	DDB0189047	DDB0349774	13-AUG-11
rsmN	DDB0204891	DDB0349773	12-AUG-11
DDB_G0291658	DDB0219667	DDB0349772	12-AUG-11
ubl5	DDB0185892	DDB0349771	12-AUG-11
DDB_G0276541	DDB0217802	DDB0349770	12-AUG-11
DDB_G0275777	DDB0202514	DDB0349769	12-AUG-11
DDB_G0280809	DDB0218254	DDB0349768	12-AUG-11
gtf2f2	DDB0187289	DDB0349767	12-AUG-11
DDB_G0276997	DDB0202670	DDB0349766	11-AUG-11
pks45	DDB0192190	DDB0349764	26-JUL-11
tsc2	DDB0218242	DDB0349759	25-JUL-11
tmcC	DDB0188334	DDB0349758	25-JUL-11
fslM-1	DDB0217099	DDB0349757	25-JUL-11
fslM-2	DDB0217429	DDB0349756	25-JUL-11
rpl36a	DDB0216719	DDB0349752	25-JUL-11
DDB_G0288539	DDB0219354	DDB0349697	12-JUL-11
DDB_G0273135	DDB0168154	DDB0349659	07-JUL-11
DDB_G0273625	DDB0217226	DDB0349652	07-JUL-11
DDB_G0274435	DDB0167634	DDB0349540	17-JUN-11
DDB_G0268588	DDB0216592	DDB0349539	17-JUN-11
DDB_G0349537	DDB0204195	DDB0349535	17-JUN-11
DDB_G0349530	DDB0185859	DDB0349533	17-JUN-11
DDB_G0284165	DDB0218581	DDB0349528	17-JUN-11
DDB_G0278623	DDB0218067	DDB0349527	16-JUN-11
DDB_G0268292	DDB0202089	DDB0349526	16-JUN-11
DDB_G0277577	DDB0217990	DDB0349524	16-JUN-11
DDB_G0289685	DDB0188518	DDB0349522	16-JUN-11
DDB_G0289683	DDB0188517	DDB0349521	16-JUN-11
DDB_G0272040	DDB0203663	DDB0349520	15-JUN-11
DDB_G0275791	DDB0202523	DDB0349516	15-JUN-11
DDB_G0274669	DDB0203216	DDB0349513	14-JUN-11
DDB_G0274643	DDB0203193	DDB0349511	13-JUN-11
DDB_G0275269	DDB0217614	DDB0349510	13-JUN-11
DDB_G0274405	DDB0167608	DDB0349509	10-JUN-11
DDB_G0274405	DDB0167609	DDB0349509	10-JUN-11
DDB_G0274273	DDB0167842	DDB0349508	10-JUN-11
nat6	DDB0217981	DDB0349506	10-JUN-11
DDB_G0349499	DDB0217089	DDB0349501	09-JUN-11
DDB_G0268988	DDB0202330	DDB0349495	09-JUN-11
DDB_G0277695	DDB0218014	DDB0349493	09-JUN-11
DDB_G0349487	DDB0217812	DDB0349489	08-JUN-11
DDB_G0274801	DDB0217482	DDB0349484	08-JUN-11
DDB_G0274557	DDB0167791	DDB0349482	07-JUN-11
