rec_number	first_author	year	pmid	title	abstract
7482	Raper, K B			Kenneth B. Raper papers 1925-1986	106 boxes (53.7 lin. ft); in the New York Botanical Garden library.
8412	Stephenson, S L			Methods for collecting eumycetozoan substrates in the field	
159	Brefeld, O	1869		Dictyostelium mucoroides. Ein neuer Organismus aus der Verwandtschaft der Myxomyceten.	
1200	Cienkowsky, L	1873		Guttulina rosea.	\ article in Russian
1565	van Tieghem, M P h	1880		Sur quelques Myxomycetes a plasmode agrege.	
3469	Fayod, V	1883		Beitrag zur Kenntniss niederer Myxomyceten.	
3448	Brefeld, O	1884		Polysphondylium violaceum und Dictyostelium mucoroides nebst Bemerkungen zur Systematik der Schleimpilze.	Article in German. With 2 figures.
1566	van Tieghem, M P h	1884		Coenonia, genre nouveau de Myxomycetes a plasmode agrege.	
6048	Marchal, E	1885		Champignons Coprophiles de Belgique. Dictyostelium sphaerocephalum	renaming of Hyalostilbum sphaerocephalum (Oudemans)
3614	Zopf, W	1885		Die Pilzthiere oder Schleimpilze. Nach dem neuesten Standpunkte bearbeitet.	Pg. 131-136: Eumycetozoen (hohere Pilzthiere) - Gruppe I. Sorophoreen - Sorusbildner.
6047	Oudemans, C A J A	1885/1886		Hyalostilbum sphaerocephalum.	Aanwinsten voor de flora mycologica van Nederland. Bijdrage IX, no. 93, pl. IV (1885). Redescribed as D. sphaerocephalum by Marchal (Raper book, pg. 246).
6095	Grimm, M	1895		Uber den Bau und die Entwicklungsgeschichte von Dictyostelium mucoroides Bref.	
3458	Dangeard, P A	1896		Contribution a l'etude des Acrasiees.	
6082	Shibata, K	1899		Polysphondylium violaceum Brefeld found in Japan.	Vol. 13, or no. 153.
5088	Nadson, G A	1899/1900		Des cultures du Dictyostelium mucoroides Bref. et des cultures pures des amibes en general.	Article in French
6117	Shibata, K	1900		Polysphondylium violaceum Brefeld.	in Japanese.
3539	Olive, E W	1901		A preliminary enumeration of the Sorophoreae.	
3540	Olive, E W	1902		Monograph of the Acrasieae.	
1280	Potts, G	1902		Zur Physiologie des Dictyostelium mucoroides.	or: Allgemeine Botanische Zeitung
1205	Pinoy, E	1903		Necessite d'une symbiose microbienne pour obtenir la culture des Myxomycetes.	
3609	Vuillemin, P	1903		Une Acrasiee bacteriophage.	
4525	Pinoy, E	1907		Role des bacteries dans le developpement de certains Myxomycetes.	
7418	Harper, R A	1908		The organization of certain coenobic plants: address of the retiring president - Robert Almer Harper	QK565.H37 (1908), NYBG. Dictyostelium on pages 316 323.
6094	Chatton, E	1912		Entamibe (Loeschia sp.) et myxomycete (Dictyostelium mucoroides Brefeld) d'un singe.	
